Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
SIRT1,4,1,1750,1,1859,1,1454,1,1709,1,5,4,1.3865244823368053,0.8614960984980385,5,0.0074080094437651706
SIRT3,4,1,570,1,351,1,221,1,400,1,5,4,1.3477770419289687,0.837420960147883,5,0.011245703515872054
SOX2,4,1,207,1,172,1,107,1,3708,1,5,4,0.4890897950157655,0.30388857577989464,5,0.00013491979112380088
NOTCH1,4,1,695,1,241,1,270,1,3901,1,5,4,0.7824888629115312,0.48618766643076133,5,0.0008798441225317363
TP53,3,1,603,1,852,1,240,1,19203,1,5,4,0.36314407767941337,0.2256341017406489,5,6.630452336438095e-05
KRAS,3,1,434,1,213,1,218,1,21477,1,5,4,0.20535282037223787,0.12759288120761614,5,2.7904636084308295e-05
JAK2,3,1,1347,1,394,1,1038,1,4689,1,5,4,1.0337714661982624,0.6423183262998914,5,0.0017555700087821065
NOS3,3,1,603,1,201,1,110,1,170,1,5,4,1.177235058645113,0.7314572681245421,5,0.0018965663887384788
HLA-DRB1,3,1,275,1,466,1,2709,1,564,1,5,4,0.980164649967852,0.6090105386454202,5,0.0
TLR2,3,1,816,1,450,1,2482,1,831,1,5,4,1.181721531425469,0.7342448703959281,5,0.0004574459820994298
SNCA,3,1,20,1,103,1,54,1,73,1,5,4,1.3073173707658403,0.8122819530134372,5,0.005964550371694977
DJ1,3,1,93,1,77,1,55,1,260,1,5,4,1.2200671344059055,0.7580703331144265,5,0.006864887717395173
NPC1,3,1,35,1,928,1,28,1,62,1,5,4,0.5058319820628836,0.31429108147320056,5,2.184837229626393e-06
MYC,3,1,1343,1,523,1,551,1,26987,1,5,4,0.3668830399011413,0.2279572495880071,5,6.630452336438095e-05
SMAD2,3,1,845,1,413,1,399,1,1985,1,5,4,1.1645787167119588,0.7235934407377417,5,0.00497895885651992
FGFR1,3,1,148,1,180,1,69,1,2017,1,5,4,0.6252591525585627,0.3884953546377729,5,0.0003212555658972701
RET,3,1,237,1,259,1,141,1,5596,1,5,4,0.4429336217869274,0.2752101329072324,5,6.630452336438095e-05
NRAS,2,1,187,1,61,1,63,1,5579,1,5,4,0.2597442986670714,0.16138820681453708,5,3.387370586866869e-05
AGT,2,1,852,1,511,1,116,1,401,1,5,4,1.2212221637470932,0.7587879931945478,5,0.009075986727859512
IGF1R,2,1,291,1,369,1,209,1,2822,1,5,4,0.8025202255466071,0.49863385182276604,5,0.0006956268989499351
GLUT4,2,1,413,1,3274,1,277,1,300,1,5,4,0.7970035395956498,0.4952061421184421,5,8.484731057480625e-05
HTR1A,2,1,5,1,6,1,14,1,12,1,5,4,1.43408156533674,0.8910449755516491,5,0.006871808553107054
HTR2A,2,1,25,1,19,1,26,1,39,1,5,4,1.4177108790136224,0.8808732962363789,5,0.008125763943307376
PARK2,2,1,25,1,32,1,25,1,107,1,5,4,1.2039680888712367,0.7480674337106709,5,0.0053989350243198566
SORL1,2,1,12,1,23,1,6,1,21,1,5,4,1.377522628159257,0.8559029320217164,5,0.016183276207578097
TGFB1,2,1,220,1,165,1,263,1,650,1,5,4,1.2424473095267197,0.7719759177585501,5,0.0065006904830619446
NTRK2,2,1,12,1,9,1,9,1,258,1,5,4,0.4856782006982606,0.30176883304788377,5,0.00010697657304630661
NOTCH3,2,1,839,1,64,1,64,1,635,1,5,4,0.971215896866595,0.6034503657228606,5,0.012540758627568118
BRCA1,1,1,161,1,481,1,51,1,14876,1,5,4,0.21761907855450544,0.13521433593258667,5,2.7904636084308295e-05
VEGFA,1,1,1349,1,824,1,677,1,4170,1,5,4,1.104618110047792,0.686337821119907,5,0.003908223244124214
MAPK1,1,1,159,1,92,1,123,1,542,1,5,4,1.1222054376466404,0.6972654421626159,5,0.0031130938132713894
GJA1,1,1,90,1,19,1,19,1,69,1,5,4,1.202282685460952,0.747020233693035,5,0.017686825461429762
LEPR,1,1,168,1,638,1,98,1,194,1,5,4,1.1308756367628388,0.7026525397630978,5,0.0014749647050596234
ADIPOQ,1,1,140,1,448,1,80,1,194,1,5,4,1.1992282241961427,0.7451223902029499,5,0.004610162749219377
